---------------------#1: seed=510---------------------------
[10, array([-0.07927322, -0.10068463]), 0.75533134729247609, 3.6736403580256485]
[11, array([-0.07927322, -0.10068463]), 0.75533134729247609, 3.2219911279432516]
[12, array([-0.07927322, -0.10068463]), 0.75533134729247609, 3.0105118593759927]
[13, array([ 0.02534753, -0.07057731]), 0.35565526292840888, 2.4966284525399844]
[14, array([ 0.02534753, -0.07057731]), 0.35565526292840888, 2.1728187932558014]
[15, array([ 0.02534753, -0.07057731]), 0.35565526292840888, 1.9572604819439721]
[16, array([ 0.02534753, -0.07057731]), 0.35565526292840888, 1.5108118457248259]
[17, array([ 0.00465212,  0.02775096]), 0.1005355552806475, 1.1938856198054397]
[18, array([ 0.00393116, -0.02702589]), 0.096986062263198836, 0.90844120832743869]
[19, array([ 0.00393116, -0.02702589]), 0.096986062263198836, 0.67823658963379485]
[20, array([ 0.00393116, -0.02702589]), 0.096986062263198836, 0.54108837556465039]
[21, array([ 0.01872976, -0.00578838]), 0.065651090711579929, 0.32766058194708575]
[22, array([-0.01225009,  0.00667405]), 0.044632036251407659, 0.22091819487307082]
[23, array([-0.01225009,  0.00667405]), 0.044632036251407659, 0.16841307467890027]
[24, array([ 0.00823316, -0.00737904]), 0.034523372793490825, 0.12147203837373857]
[25, array([ 0.00823316, -0.00737904]), 0.034523372793490825, 0.10609554448013965]
[26, array([ 0.00066142, -0.00737904]), 0.022415667323198551, 0.081341341079027615]
[27, array([-0.00489355,  0.00484533]), 0.020740424593431062, 0.064981257806596471]
[28, array([-0.00489355,  0.00484533]), 0.020740424593431062, 0.057411854640677884]
[29, array([-0.00550235,  0.00083936]), 0.016567778338103967, 0.047938118797259663]
[30, array([-0.00236912,  0.00132724]), 0.0078771284867404923, 0.036781010671370407]
[31, array([-0.00236912,  0.00132724]), 0.0078771284867404923, 0.029410275868402724]
[32, array([-0.00236912,  0.00132724]), 0.0078771284867404923, 0.023779958481428755]
[33, array([ 0.00106883, -0.001655  ]), 0.0056757268184779441, 0.016889416774509679]
[34, array([ 0.00106883, -0.001655  ]), 0.0056757268184779441, 0.012907043134394858]
[35, array([-0.00112498,  0.00105136]), 0.0044183047284218624, 0.011480321020361206]
[36, array([-0.00112498,  0.00105136]), 0.0044183047284218624, 0.009962426580558504]
[37, array([ 0.00042571,  0.00022445]), 0.0013673555891142719, 0.0076647681180932459]
[38, array([-0.00045575, -0.00013431]), 0.0013498732162813276, 0.0057486188839154014]
[39, array([-0.00045575, -0.00013431]), 0.0013498732162813276, 0.0042961598487122107]
[40, array([-0.00045575, -0.00013431]), 0.0013498732162813276, 0.0034089522291229635]
[41, array([ -3.16660540e-05,   2.93224799e-04]), 0.00083650336238649814, 0.0029124111194481551]
[42, array([ -3.16660540e-05,   2.93224799e-04]), 0.00083650336238649814, 0.0025032743447938265]
[43, array([ -8.07010894e-05,   1.95701028e-04]), 0.00059993566079485916, 0.0018008493100777124]
[44, array([ -6.61852340e-05,   1.16194976e-04]), 0.00037870104283088679, 0.0015517449240836534]
[45, array([ -6.61852340e-05,   1.16194976e-04]), 0.00037870104283088679, 0.0011223522642686667]
[46, array([ -6.61852340e-05,   1.16194976e-04]), 0.00037870104283088679, 0.00098999830153934099]
[47, array([ -1.73343636e-05,   9.72296610e-05]), 0.00027960306728092021, 0.00074088666237832608]
[48, array([ -2.60651545e-05,   4.78798093e-05]), 0.00015427040474635945, 0.00065594079240858247]
[49, array([  1.69478660e-05,  -2.55562822e-06]), 4.8485561276567779e-05, 0.00050811405674116021]
[50, array([  1.69478660e-05,  -2.55562822e-06]), 4.8485561276567779e-05, 0.00039014377305308657]
[51, array([  1.69478660e-05,  -2.55562822e-06]), 4.8485561276567779e-05, 0.00034147935472992328]
[52, array([  1.69478660e-05,  -2.55562822e-06]), 4.8485561276567779e-05, 0.00024639707578328897]
[53, array([  1.69478660e-05,  -2.55562822e-06]), 4.8485561276567779e-05, 0.0001965864022730024]
[54, array([  1.28509499e-05,   3.54582847e-07]), 3.636620983771266e-05, 0.00016284327329918469]
[55, array([  1.28509499e-05,   3.54582847e-07]), 3.636620983771266e-05, 0.00013705509971631002]
[56, array([  1.28509499e-05,   3.54582847e-07]), 3.636620983771266e-05, 0.00011545364370784128]
[57, array([  8.22174209e-06,   6.90005353e-06]), 3.0361958643698728e-05, 9.9758109642866796e-05]
[58, array([  8.22174209e-06,   6.90005353e-06]), 3.0361958643698728e-05, 7.01996915432268e-05]
[59, array([  7.23499020e-06,  -6.25977571e-06]), 2.7062352313311777e-05, 6.2570202261991165e-05]
[60, array([ -5.04985673e-06,   5.00863708e-07]), 1.4353920186227498e-05, 4.6335019415355563e-05]
[61, array([ -5.04985673e-06,   5.00863708e-07]), 1.4353920186227498e-05, 3.8391288824524138e-05]
[62, array([  1.88373723e-06,   4.05835419e-06]), 1.2655557260377037e-05, 2.6054751719062352e-05]
[63, array([  4.23116361e-07,   5.62328999e-08]), 1.2072814361552275e-06, 1.8508975164710507e-05]
---------------------#6: seed=98---------------------------
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.011938120437677]
[2, array([-0.29275364,  0.47495807]), 3.7012600379129386, 16.163800229563421]
[3, array([-0.29275364,  0.47495807]), 3.7012600379129386, 14.533372167397497]
[4, array([-0.29275364,  0.47495807]), 3.7012600379129386, 12.763085490847356]
[5, array([-0.29275364,  0.47495807]), 3.7012600379129386, 11.997444882847024]
[6, array([-0.29275364,  0.47495807]), 3.7012600379129386, 10.447225675601189]
