[18, array([-0.05695012,  0.09020643]), 0.5822671990207593, 3.4006892516333869]
[19, array([-0.05695012,  0.09020643]), 0.5822671990207593, 2.7837553991402522]
[20, array([-0.05695012,  0.09020643]), 0.5822671990207593, 2.6152869655544793]
[21, array([-0.05695012,  0.09020643]), 0.5822671990207593, 2.4241270418792875]
[22, array([-0.01656575, -0.02865222]), 0.12255555509546712, 2.0903202200112081]
[23, array([-0.01656575, -0.02865222]), 0.12255555509546712, 1.996681644447333]
[24, array([-0.01656575, -0.02865222]), 0.12255555509546712, 1.6690986793601947]
[25, array([-0.01656575, -0.02865222]), 0.12255555509546712, 1.4989224287166671]
[26, array([-0.01656575, -0.02865222]), 0.12255555509546712, 1.287903948373964]
[27, array([-0.00377688,  0.01158464]), 0.038412715164945599, 0.816400022715842]
[28, array([-0.00377688,  0.01158464]), 0.038412715164945599, 0.75249550831290279]
[29, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.5400044292767312]
[30, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.43800345782281924]
[31, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.31113904891256861]
[32, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.27929396033832016]
[33, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.23665792297790106]
[34, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.1804631279441021]
[35, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.1149642106441168]
[36, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.086895190938421768]
[37, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.072102433352854073]
[38, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.063248261419043578]
[39, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.04719131626989901]
[40, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.037077638231288915]
[41, array([ 0.00032635, -0.00339951]), 0.0099700217285598747, 0.028008789806901736]
[42, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.023787289331546814]
[43, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.020277396002660007]
[44, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.018218671767829431]
[45, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.01506216015665034]
[46, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.012396986361287343]
[47, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.011918971451140958]
[48, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.010591295500710186]
[49, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0088842415933084069]
[50, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0072785145093411611]
[51, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0056065660360334665]
[52, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0047311418973589705]
[53, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0037686424150106925]
[54, array([ 0.00029561,  0.00012129]), 0.00090646943353478449, 0.0036498774349861484]
[55, array([ -3.91147642e-05,   3.15832292e-04]), 0.00090283024852810811, 0.0033971495412699502]
[56, array([ -3.91147642e-05,   3.15832292e-04]), 0.00090283024852810811, 0.0030687776332738005]
[57, array([ -1.07599707e-04,   1.17930496e-05]), 0.000306472387887613, 0.0022888961693408481]
[58, array([ -1.07599707e-04,   1.17930496e-05]), 0.000306472387887613, 0.0018412979395303175]
[59, array([ -1.28471138e-05,   8.60212430e-05]), 0.00024620472966363494, 0.0015107585109512378]
[60, array([ -1.28471138e-05,   8.60212430e-05]), 0.00024620472966363494, 0.0013108881349713109]
[61, array([ -1.28471138e-05,   8.60212430e-05]), 0.00024620472966363494, 0.0011272037871042251]
[62, array([ -1.28471138e-05,   8.60212430e-05]), 0.00024620472966363494, 0.0010459191427938386]
[63, array([  2.37036578e-05,  -7.53553814e-06]), 7.0366895347451219e-05, 0.00095675087286233311]
[64, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00077613363406969782]
[65, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00069110606174218605]
[66, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00051075369695476882]
[67, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00041670628979391112]
[68, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00033541275861184163]
[69, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.0002984994257185569]
[70, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00027671478636230872]
[71, array([ -1.95604377e-05,  -9.53113944e-07]), 5.5401125017784381e-05, 0.00024693789573033699]
